top_url,url_thiny,domain_with_https
paopaoche.net,0,0
jiemian.com,0,0
oppo.com,0,0
122.gov.cn,0,0
qiushibaike.com,0,0
mm131.com,0,0
shangc.net,0,0
lady8844.com,0,0
pcpop.com,0,0
daman.cc,0,0
yoka.com,0,0
pinshan.com,0,0
zhicheng.com,0,0
vivo.com.cn,0,0
xitongzhijia.net,0,0
cnki.com.cn,0,0
qianzhan.com,0,0
wbiao.cn,0,0
cnkang.com,0,0
sanwen8.cn,0,0
chinabyte.com,0,0
newmotor.com.cn,0,0
laonanren.com,0,0
chazidian.com,0,0
mnw.cn,0,0
onegreen.net,0,0
city8.com,0,0
longzhu.com,0,0
yto.net.cn,0,0
faxingw.cn,0,0
5068.com,0,0
china-10.com,0,0
aliyun.com,0,0
morningpost.com.cn,0,0
hinews.cn,0,0
amazon.cn,0,0
pchouse.com.cn,0,0
alibaba.com,0,0
17500.cn,0,0
rong360.com,0,0
chachaba.com,0,0
leha.com,0,0
suning.com,0,0
nba98.com,0,0
51240.com,0,0
toutiao.com,0,0
83133.com,0,0
sto.cn,0,0
cnbanbao.cn,0,0
yw11.com,0,0
zcool.com.cn,0,0
dm5.com,0,0
lwxs520.com,0,0
szhk.com,0,0
elecfans.com,0,0
ly.com,0,0
tadu.com,0,0
e23.cn,0,0
99danji.com,0,0
nvsay.com,0,0
jia.com,0,0
t086.com,0,0
huanqiu.com,0,0
kj-cy.cn,0,0
5011.net,0,0
dytt8.net,0,0
alimama.com,0,0
5nd.com,0,0
3533.com,0,0
soku.com,0,0
lottery.gov.cn,0,0
okooo.com,0,0
yanyue.cn,0,0
woyaogexing.com,0,0
6.cn,0,0
wdzj.com,0,0
zgjm.org,0,0
sdo.com,0,0
acfun.tv,0,0
tieyou.com,0,0
wenming.cn,0,0
china.com.cn,0,0
51zxw.net,0,0
elong.com,0,0
ooopic.com,0,0
zaobao.com,0,0
mianbao99.com,0,0
yundaex.com,0,0
cndzys.com,0,0
gexing.com,0,0
zhe800.com,0,0
pchome.net,0,0
buyiju.com,0,0
sheup.com,0,0
360kad.com,0,0
bing.com,0,0
sanguosha.com,0,0
verycd.com,0,0
51sole.com,0,0
dbw.cn,0,0
stockstar.com,0,0
takefoto.cn,0,0
amazon.com,0,0
huatu.com,0,0
sznews.com,0,0
dongao.com,0,0
voc.com.cn,0,0
daizhuzai.com,0,0
tongxiehui.net,0,0
5173.com,0,0
1024sj.com,0,0
114piaowu.com,0,0
miui.com,0,0
vip.com,0,0
ankangwang.com,0,0
nen.com.cn,0,0
samsung.com,0,0
nike.com,0,0
geely.com,0,0
dzwww.com,0,0
lvmama.com,0,0
aicai.com,0,0
qingdaonews.com,0,0
cqnews.net,0,0
uc.cn,0,0
ikea.com,0,0
hp.com,0,0
taoche.com,0,0
hongxiu.com,0,0
bytravel.cn,0,0
99166.com,0,0
3d66.com,0,0
pixiv.net,0,0
p5w.net,0,0
yiwan.com,0,0
1ting.com,0,0
amap.com,0,0
weizhang8.cn,0,0
cmbc.com.cn,0,0
liepin.com,0,0
smzdm.com,0,0
360doc.cn,0,0
114la.com,0,0
55125.cn,0,0
ptbus.com,0,0
y3600.com,0,0
qyer.com,0,0
1ppt.com,0,0
61.com,0,0
feng.com,0,0
ce.cn,0,0
cp2y.com,0,0
365jia.cn,0,0
gome.com.cn,0,0
kanunu8.com,0,0
3158.cn,0,0
kongfz.com,0,0
lagou.com,0,0
123du.cc,0,0
guokr.com,0,0
cjn.cn,0,0
pedaily.cn,0,0
house365.com,0,0
gamedog.cn,0,0
wanmei.com,0,0
66rpg.com,0,0
zhenai.com,0,0
jandan.net,0,0
cngold.com.cn,0,0
kdnet.net,0,0
battlenet.com.cn,0,0
chinahr.com,0,0
lenovo.com.cn,0,0
gfbzb.gov.cn,0,0
msxf.net,0,0
csair.com,0,0
kekenet.com,0,0
25pp.com,0,0
cri.cn,0,0
changyou.com,0,0
chushou.tv,0,0
eelly.com,0,0
dajie.com,0,0
leju.com,0,0
meipai.com,0,0
kuai8.com,0,0
zgzcw.com,0,0
jumei.com,0,0
gfan.com,0,0
ithome.com,0,0
hsw.cn,0,0
5ykj.com,0,0
fengniao.com,0,0
bukade.com,0,0
airchina.com.cn,0,0
tuku.cc,0,0
koolearn.com,0,0
wps.cn,0,0
iqilu.com,0,0
oschina.net,0,0
aihami.com,0,0
pku.edu.cn,0,0
kongzhong.com,0,0
xitek.com,0,0
dxy.cn,0,0
ceair.com,0,0
damai.cn,0,0
cyol.com,0,0
kanzhun.com,0,0
hackhome.com,0,0
962.net,0,0
huoche.net,0,0
kiees.cn,0,0
tiancity.com,0,0
baihe.com,0,0
geyanw.com,0,0
0s.net.cn,0,0
sgamer.com,0,0
china.cn,0,0
lemall.com,0,0
15tianqi.com,0,0
ssqzj.com,0,0
csai.cn,0,0
znds.com,0,0
xigua110.com,0,0
google.com.hk,0,0
gaokao.com,0,0
haibao.com,0,0
dygang.com,0,0
ea3w.com,0,0
xiaomi.cn,0,0
ickd.cn,0,0
fx678.com,0,0
gao7.com,0,0
ltaaa.com,0,0
8264.com,0,0
cjdby.net,0,0
37.com,0,0
youqu.net,0,0
4399dmw.com,0,0
zhulang.com,0,0
9ht.com,0,0
soso.com,0,0
asus.com.cn,0,0
poco.cn,0,0
ys137.com,0,0
ifensi.com,0,0
pinggu.org,0,0
familydoctor.com.cn,0,0
jzb.com,0,0
xoyo.com,0,0
9553.com,0,0
icaile.com,0,0
jstv.com,0,0
eeyy.com,0,0
enorth.com.cn,0,0
ecitic.com,0,0
wechat.com,0,0
thepaper.cn,0,0
ppdai.com,0,0
shuaijiao.com,0,0
ycwb.com,0,0
yxbao.com,0,0
kan300.com,0,0
51cto.com,0,0
co188.com,0,0
fznews.com.cn,0,0
spdb.com.cn,0,0
court.gov.cn,0,0
lesports.com,0,0
ivsky.com,0,0
cpta.com.cn,0,0
psbc.com,0,0
ybdu.com,0,0
mofcom.gov.cn,0,0
